COMMODITY,VARIETY,ARRIVAL_DATE,MODAL_PRICE
Pointed gourd (Parval),Other,03/06/2015,3150.0
Pointed gourd (Parval),Other,04/06/2015,3625.0
Pointed gourd (Parval),Other,06/06/2015,3700.0
Pointed gourd (Parval),Other,08/06/2015,3700.0
Pointed gourd (Parval),Other,09/06/2015,3750.0
Pointed gourd (Parval),Other,10/06/2015,3750.0
Pointed gourd (Parval),Other,11/06/2015,3750.0
Pointed gourd (Parval),Other,12/06/2015,3625.0
Pointed gourd (Parval),Other,15/06/2015,2700.0
Pointed gourd (Parval),Other,16/06/2015,2600.0
Pointed gourd (Parval),Other,17/06/2015,2675.0
Pointed gourd (Parval),Other,19/06/2015,2875.0
Pointed gourd (Parval),Other,20/06/2015,2750.0
Pointed gourd (Parval),Other,22/06/2015,2625.0
Pointed gourd (Parval),Other,23/06/2015,2750.0
Pointed gourd (Parval),Other,24/06/2015,2650.0
Pointed gourd (Parval),Other,07/07/2015,2650.0
Pointed gourd (Parval),Other,08/07/2015,2600.0
Pointed gourd (Parval),Other,09/07/2015,2150.0
Pointed gourd (Parval),Other,10/07/2015,2125.0
Pointed gourd (Parval),Other,11/07/2015,2200.0
Pointed gourd (Parval),Other,13/07/2015,2375.0
Pointed gourd (Parval),Other,14/07/2015,2375.0
Pointed gourd (Parval),Other,15/07/2015,2375.0
Pointed gourd (Parval),Other,16/07/2015,2125.0
Pointed gourd (Parval),Other,17/07/2015,1875.0
Pointed gourd (Parval),Other,18/07/2015,1625.0
Pointed gourd (Parval),Other,20/07/2015,1725.0
Pointed gourd (Parval),Other,22/07/2015,1650.0
Pointed gourd (Parval),Other,23/07/2015,1825.0
Pointed gourd (Parval),Other,24/07/2015,1875.0
Pointed gourd (Parval),Other,25/07/2015,2075.0
Pointed gourd (Parval),Other,27/07/2015,2375.0
Pointed gourd (Parval),Other,28/07/2015,2325.0
Pointed gourd (Parval),Other,29/07/2015,2325.0
Pointed gourd (Parval),Other,31/07/2015,2500.0
Pointed gourd (Parval),Other,01/08/2015,2625.0
Pointed gourd (Parval),Other,03/08/2015,3125.0
Pointed gourd (Parval),Other,04/08/2015,3625.0
Pointed gourd (Parval),Other,05/08/2015,3625.0
Pointed gourd (Parval),Other,06/08/2015,3625.0
Pointed gourd (Parval),Other,07/08/2015,3625.0
Pointed gourd (Parval),Other,08/08/2015,3375.0
Pointed gourd (Parval),Other,10/08/2015,3375.0
Pointed gourd (Parval),Other,11/08/2015,3125.0
Pointed gourd (Parval),Other,12/08/2015,2875.0
Pointed gourd (Parval),Other,13/08/2015,2875.0
Pointed gourd (Parval),Other,19/08/2015,2375.0
Pointed gourd (Parval),Other,21/08/2015,2550.0
Pointed gourd (Parval),Other,22/08/2015,2875.0
Pointed gourd (Parval),Other,24/08/2015,2875.0
Pointed gourd (Parval),Other,28/08/2015,3125.0
Pointed gourd (Parval),Other,31/08/2015,2875.0
Pointed gourd (Parval),Other,01/09/2015,2875.0
Pointed gourd (Parval),Other,02/09/2015,2550.0
Pointed gourd (Parval),Other,03/09/2015,2125.0
Pointed gourd (Parval),Other,04/09/2015,1725.0
Pointed gourd (Parval),Other,07/09/2015,2325.0
Pointed gourd (Parval),Other,08/09/2015,2375.0
Pointed gourd (Parval),Other,09/09/2015,2125.0
Pointed gourd (Parval),Other,10/09/2015,1600.0
Pointed gourd (Parval),Other,11/09/2015,1500.0
Pointed gourd (Parval),Other,12/09/2015,1400.0
Pointed gourd (Parval),Other,14/09/2015,1450.0
Pointed gourd (Parval),Other,15/09/2015,1625.0
Pointed gourd (Parval),Other,16/09/2015,1625.0
Pointed gourd (Parval),Other,18/09/2015,1625.0
Pointed gourd (Parval),Other,19/09/2015,1625.0
Pointed gourd (Parval),Other,28/09/2015,4375.0
Pointed gourd (Parval),Other,29/09/2015,4875.0
Pointed gourd (Parval),Other,01/10/2015,4750.0
Pointed gourd (Parval),Other,05/10/2015,5250.0
Pointed gourd (Parval),Other,06/10/2015,4875.0
Pointed gourd (Parval),Other,07/10/2015,4750.0
Pointed gourd (Parval),Other,08/10/2015,4750.0
Pointed gourd (Parval),Other,09/10/2015,4750.0
Pointed gourd (Parval),Other,10/10/2015,4750.0
Pointed gourd (Parval),Other,12/10/2015,5125.0
Pointed gourd (Parval),Other,13/10/2015,5125.0
Pointed gourd (Parval),Other,14/10/2015,4750.0
Pointed gourd (Parval),Other,15/10/2015,4000.0
Pointed gourd (Parval),Other,16/10/2015,4625.0
Pointed gourd (Parval),Other,19/10/2015,4250.0
Pointed gourd (Parval),Other,20/10/2015,4750.0
Pointed gourd (Parval),Other,21/10/2015,4750.0
Pointed gourd (Parval),Other,26/10/2015,4875.0
Pointed gourd (Parval),Other,27/10/2015,5250.0
Pointed gourd (Parval),Other,28/10/2015,4875.0
Pointed gourd (Parval),Other,29/10/2015,5000.0
Pointed gourd (Parval),Other,30/10/2015,4750.0
Pointed gourd (Parval),Other,02/11/2015,5250.0
Pointed gourd (Parval),Other,03/11/2015,5250.0
Pointed gourd (Parval),Other,04/11/2015,5125.0
Pointed gourd (Parval),Other,05/11/2015,4750.0
Pointed gourd (Parval),Other,06/11/2015,4750.0
Pointed gourd (Parval),Other,07/11/2015,4625.0
Pointed gourd (Parval),Other,09/11/2015,4250.0
Pointed gourd (Parval),Other,10/11/2015,3750.0
Pointed gourd (Parval),Other,23/11/2015,3875.0
Pointed gourd (Parval),Other,24/11/2015,3625.0
Pointed gourd (Parval),Other,25/11/2015,3625.0
Pointed gourd (Parval),Other,26/11/2015,3250.0
Pointed gourd (Parval),Other,27/11/2015,3625.0
Pointed gourd (Parval),Other,28/11/2015,3625.0
Pointed gourd (Parval),Other,30/11/2015,3750.0
Pointed gourd (Parval),Other,01/12/2015,3750.0
Pointed gourd (Parval),Other,02/12/2015,3750.0
Pointed gourd (Parval),Other,03/12/2015,3750.0
Pointed gourd (Parval),Other,04/12/2015,4125.0
Pointed gourd (Parval),Other,05/12/2015,3750.0
Pointed gourd (Parval),Other,07/12/2015,3750.0
Pointed gourd (Parval),Other,08/12/2015,4250.0
Pointed gourd (Parval),Other,09/12/2015,4625.0
Pointed gourd (Parval),Other,10/12/2015,4750.0
Pointed gourd (Parval),Other,11/12/2015,4750.0
Pointed gourd (Parval),Other,12/12/2015,4750.0
Pointed gourd (Parval),Other,14/12/2015,5250.0
Pointed gourd (Parval),Other,15/12/2015,5250.0
Pointed gourd (Parval),Other,16/12/2015,5250.0
Pointed gourd (Parval),Other,17/12/2015,5250.0
Pointed gourd (Parval),Other,18/12/2015,5250.0
Pointed gourd (Parval),Other,19/12/2015,5250.0
Pointed gourd (Parval),Other,21/12/2015,5250.0
Pointed gourd (Parval),Other,26/12/2015,5250.0
Pointed gourd (Parval),Other,30/12/2015,5500.0
Pointed gourd (Parval),Other,30/01/2003,2625.0
Pointed gourd (Parval),Other,31/01/2003,2125.0
Pointed gourd (Parval),Other,26/02/2003,2275.0
Pointed gourd (Parval),Other,27/02/2003,2450.0
Pointed gourd (Parval),Other,28/02/2003,2275.0
